Year,Race,Opioid Deaths
1999,"White, Non-Hispanic",5669
1999,"Black, Non-Hispanic",1130
1999,Hispanic,1058
2000,"White, Non-Hispanic",6207
2000,"Black, Non-Hispanic",1142
2000,Hispanic,868
2001,"White, Non-Hispanic",7303
2001,"Black, Non-Hispanic",1123
2001,Hispanic,874
2002,"White, Non-Hispanic",9372
2002,"Black, Non-Hispanic",1230
2002,Hispanic,1085
2003,"White, Non-Hispanic",10339
2003,"Black, Non-Hispanic",1207
2003,Hispanic,1162
2004,"White, Non-Hispanic",11325
2004,"Black, Non-Hispanic",1117
2004,Hispanic,1048
2005,"White, Non-Hispanic",12220
2005,"Black, Non-Hispanic",1224
2005,Hispanic,1166
2006,"White, Non-Hispanic",14391
2006,"Black, Non-Hispanic",1535
2006,Hispanic,1313
2007,"White, Non-Hispanic",15506
2007,"Black, Non-Hispanic",1319
2007,Hispanic,1361
2008,"White, Non-Hispanic",16405
2008,"Black, Non-Hispanic",1291
2008,Hispanic,1482
2009,"White, Non-Hispanic",17084
2009,"Black, Non-Hispanic",1380
2009,Hispanic,1470
2010,"White, Non-Hispanic",17927
2010,"Black, Non-Hispanic",1339
2010,Hispanic,1373
2011,"White, Non-Hispanic",19132
2011,"Black, Non-Hispanic",1489
2011,Hispanic,1634
2012,"White, Non-Hispanic",19239
2012,"Black, Non-Hispanic",1619
2012,Hispanic,1718
2013,"White, Non-Hispanic",20599
2013,"Black, Non-Hispanic",1926
2013,Hispanic,1958
2014,"White, Non-Hispanic",23574
2014,"Black, Non-Hispanic",2298
2014,Hispanic,2107
2015,"White, Non-Hispanic",27056
2015,"Black, Non-Hispanic",2741
2015,Hispanic,2507
2016,"White, Non-Hispanic",33450
2016,"Black, Non-Hispanic",4374
2016,Hispanic,3440
2017,"White, Non-Hispanic",37113
2017,"Black, Non-Hispanic",5513
2017,Hispanic,3932
2018,"White, Non-Hispanic",35363
2018,"Black, Non-Hispanic",6088
2018,Hispanic,4370